entry_id,chap_id,"trans_english","trans_french","trans_russian","trans_spanish","trans_portugese","concept_eng"
320,14,"often","souvent","часто","a menudo, frecuentemente","amiúde",NULL
310,14,"always","toujours","всегда","siempre","sempre",NULL
290,14,"ready","prêt","готовый","listo","pronto",NULL
280,14,"cease, stop","cesser, s'arrêter","прекращать, останавливаться","terminar, detenerse","parar, cessar",NULL
270,14,"finish","finir, terminer","заканчивать","acabar, terminar, finalizar","completar, acabar",NULL
260,14,"end (temporal)","fin","кончать","fin","fim",NULL
252,14,"last, endure","durer","продолжаться, длиться","durar","durar, suportar",NULL
250,14,"begin, beginning","commencement, début","начинать, начало","empezar, comienzo, inicio","começar",NULL
240,14,"retard, delay","différer, retarder","замедлять, задерживать","demorar, retrasar","demorar, atrasar",NULL
230,14,"hasten, hurry","se dépêcher","спешить, торопить(ся)","apurarse, darse prisa","apressar",NULL
220,14,"slow","lent","медленный","despacio, lentamente","vagaroso, devagar",NULL
210,14,"swift, fast, quick","vite, rapide","быстрый","rápido","rápido, ligeiro",NULL
190,14,"immediately","tout de suite","немедленно","en seguida, inmediatamente","de imediato",NULL
180,14,"now","maintenant","сейчас","ahora","agora",NULL
170,14,"late","tard","поздно","tarde","tarde",NULL
160,14,"early","tôt, de bonne heure","рано","temprano","cedo",NULL
150,14,"old","vieux, âgé","старый","viejo","velho",NULL
140,14,"young","jeune","молодой","tierno, joven","jovem, novo",NULL
120,14,"age","âge","возраст, век, эпоха","edad","idade",NULL
130,14,"new","nouveau","новый","nuevo","novo",NULL
110,14,"time","heure, temps","время","tiempo","tempo",NULL
440,13,"three times","trois fois","три раза","tres veces","três vezes",NULL
420,13,"third","troisième","третий","tercero","terceiro",NULL
380,13,"two times","deux fois","два раза","dos veces","duas vezes",NULL
370,13,"pair","couple, paire","пара","par","par",NULL
360,13,"second","deuxième","второй","segundo","segundo",NULL
350,13,"last","dernier","последний","último","último",NULL
340,13,"first","premier","первый","primero","primeiro",NULL
330,13,"alone, only","seul, seulement","один, единственный","solo, solamente","só, somente",NULL
240,13,"half","moitié","половина","mitad","metade",NULL
230,13,"part, piece","morceau, partie","часть, кусок","pedazo","parte, pedaço, peça",NULL
220,13,"empty","vide","пустой","vacío","vazio",NULL
210,13,"full","plein","полный","lleno","cheio",NULL
190,13,"multitude, crowd","foule","множество","multitud","multidão",NULL
181,13,"some","un peu","несколько","un poco, algo, alguno","alguns",NULL
170,13,"little (quantity), few","peu","мало","poco","pouco, poucos",NULL
180,13,"enough","assez","достаточно","bastante, suficiente","bastante, suficiente",NULL
160,13,"more","encore, plus","больше","más","mais",NULL
150,13,"much, many","beaucoup","много","mucho","muito, muitos",NULL
140,13,"every, all","chaque, tous","все","cada uno, todo","cada, tudo",NULL
107,13,"count","compter","считать","contar","contar",NULL
106,13,"thousand","mille","тысяча","mil","mil",NULL
105,13,"hundred","cent","сто","ciento, cien","cento, cem",NULL
104,13,"twenty","vingt","двадцать","veinte","vinte",NULL
103,13,"fifteen","quinze","пятнадцать","quince","quinze",NULL
102,13,"twelve","douze","двенадцать","doce","doze",NULL
101,13,"eleven","onze","одиннадцать","once","onze",NULL
100,13,"ten","dix","десять","diez","dez",NULL
90,13,"nine","neuf","девять","nueve","nove",NULL
80,13,"eight","huit","восемь","ocho","oito",NULL
70,13,"seven","sept","семь","siete","sete",NULL
60,13,"six","six","шесть","seis","seis",NULL
50,13,"five","cinq","пять","cinco","cinco",NULL
40,13,"four","quatre","четыре","cuatro","quatro",NULL
20,13,"two","deux","два","dos","dois, duas",NULL
30,13,"three","trois","три","tres","três",NULL
10,13,"one","un","один","uno","um, uma",NULL
0,13,"zero, nothing","zéro, rien","ноль","cero, nada","zero, nada",NULL
930,12,"change","changer","менять","cambiar","mudar",NULL
920,12,"like, similar","semblable","похожий, подобный","semejante","parecido",NULL
840,12,"line","ligne, rang","линия","línea","linha",NULL
850,12,"hole","trou","дыра","agujero","buraco",NULL
830,12,"sphere, ball","sphère, ballon","сфера, шар","pelota, esfera, globo","esfera, bola",NULL
810,12,"round","rond","круглый","redondo","redondo",NULL
820,12,"circle","cercle","круг, окружность","círculo","círculo, roda",NULL
780,12,"square","carré","квадрат","cuadrado","quadrado",NULL
770,12,"cross","croix","крест","cruz","cruz",NULL
760,12,"corner","coin","угол","esquina, rincón","esquina, canto",NULL
750,12,"hook","crochet","крюк","gancho","gancho",NULL
740,12,"crooked","courbe, pas droit","кривой","torcido","torcido, torto",NULL
730,12,"straight","droit","прямой","derecho, recto","direito, reto",NULL
710,12,"flat","plat","плоский","plano","plano, chato",NULL
680,12,"shallow","peu profond","мелкий","bajo, poco profundo","raso, baixo",NULL
670,12,"deep","profond","глубокий","profundo, hondo","fundo",NULL
650,12,"thin (in dimension)","mince","тонкий","delgado","fino, delgado",NULL
630,12,"thick (in dimension)","épais","толстый","grueso","grosso",NULL
620,12,"narrow","étroit","узкий","angosto, estrecho","estreito",NULL
610,12,"wide, broad","large","широкий","ancho, amplio","largo",NULL
590,12,"short","court","короткий","corto","curto",NULL
580,12,"tall","grand","высокий","alto","alto",NULL
570,12,"long","long","длинный","largo","comprido",NULL
560,12,"small, little","petit","маленький","chico, pequeño","pequeno",NULL
550,12,"large, big","grand, gros","большой","grande","grande",NULL
541,12,"span, fathom","brasse (mesure)","пядь, морская сажень","braza (medida)","palmo, braça",NULL
540,12,"measure","mesurer","мерить, измерять","medir","medir",NULL
530,12,"grow","grandir, croître, pousser","расти","crecer","crescer",NULL
480,12,"south","sud","юг","sur","sul",NULL
470,12,"north","nord","север","norte","norte",NULL
460,12,"west","ouest, occident","запад","oeste, poniente","oeste",NULL
450,12,"east","est, orient","восток","este (punto cardinal), levante","leste, este",NULL
430,12,"near (adv)","près","рядом","cerca","perto, próximo",NULL
440,12,"far (adv)","loin","далеко","lejos","longe",NULL
420,12,"left (side)","gauche","левая (сторна)","izquierda","esquerda",NULL
410,12,"right (side)","droite","правая (сторона)","derecha","direita",NULL
370,12,"middle, center","milieu, centre","середина, центр","medio, centro","meio, centro",NULL
360,12,"side","côte","сторона","lado, costado","lado",NULL
353,12,"edge","bord, orée","край","borde, orilla, margen","beira, borda",NULL
352,12,"pointed","pointu","остроконечный","puntiagudo","afiado, agudo",NULL
350,12,"end","bout, extrémité","конец","final","extremidade, fim, ponta",NULL
340,12,"bottom","fond","дно, низ","fondo","fundo",NULL
320,12,"low","bas","низко","bajo","baixo",NULL
330,12,"top","haut, sommet","вершина, макушка","cima","cume, topo",NULL
310,12,"high","haut","высоко","alto","alto, elevado",NULL
270,12,"hide, conceal","cacher, dissimuler","прятать, скрывать","esconder","esconder",NULL
250,12,"shut, close","fermer","закрывать","cerrar","fechar",NULL
260,12,"cover","couvrir","покрывать","cubrir","cobrir",NULL
240,12,"open","ouvrir","открывать","abrir","abrir, aberto",NULL
232,12,"divide","diviser","делить","dividir","dividir",NULL
230,12,"separate","séparer","отделять","separar, apartar","separar",NULL
220,12,"join, unite","unir","соединять, объединять","juntar","juntar, unir",NULL
213,12,"pile up","entasser","накоплять, нагромождать","amontonar","empilhar",NULL
212,12,"pick up","ramasser","подбирать, поднимать","recoger","captar",NULL
210,12,"collect, gather","recueillir, rassembler","собирать","recoger, reunir","colecionar, reunir",NULL
170,12,"remains, left overs","reste","остатки","sobras","restos",NULL
160,12,"remain, stay","rester, demeurer, attendre","оставаться","quedar","ficar",NULL
150,12,"stand","se tenir debout","стоять","poner(se) de pie","estar em pé, ficar em pé",NULL
140,12,"lie down","se coucher","ложиться","acostarse, echarse","deitar-se",NULL
130,12,"sit","s'asseoir","сидеть","sentar","sentar-se",NULL
120,12,"put","mettre","положить","poner","pôr",NULL
110,12,"place","endroit, place, lieu","место","lugar, sitio","espaço, lugar",NULL
80,12,"up, above","au-dessus, sur, là-haut, là dessus","над","arriba, encima","em cima, sôbre",NULL
70,12,"under","dessous, sous","под","debajo","debaixo",NULL
60,12,"outside","dehors","снаружи","afuera, fuera, exterior","fora",NULL
50,12,"inside, in","dans, dedans","в, внутри","adentro, dentro","dentro",NULL
41,12,"front","devant","перед","delantero, delante","frente",NULL
40,12,"before","avant, devant","перед, до","delante, antes de","antes, perante",NULL
30,12,"down, below","en bas, sous","ниже, по направлению вниз","abajo, bajo","debaixo, abaixo",NULL
20,12,"beside","à côté de","рядом, у","al lado de","ao lado de",NULL
11,12,"behind","derrière","за","atrás, detrás","atrás",NULL
10,12,"after","après","после","después","depois",NULL
920,11,"weigh","peser","взвешивать, весить","pesar","pesar",NULL
910,11,"share (distribute)","partager","распределять","repartir","distribuir, compartilhar",NULL
890,11,"cheap","bon marché","дешевый","barato","barato",NULL
880,11,"dear (costly, expensive)","cher","дорогой","caro (costoso)","caro",NULL
870,11,"price","prix","цена","precio","preço",NULL
860,11,"store, shop","boutique, magasin","магазин","tienda, almacen","loja",NULL
850,11,"market (place)","marché","рынок, базар","mercado","mercado",NULL
840,11,"merchant","marchand, commerçant","купец, торговец","comerciante","negociante",NULL
830,11,"trade, barter","échange","торговля, обмен","trocar","trocar",NULL
820,11,"sell","vendre","продавать","vender","vender",NULL
810,11,"buy","acheter","покупать","comprar","comprar",NULL
790,11,"earn","gagner","зарабатывать","ganar (dinero)","ganhar",NULL
780,11,"wages","salaire","заработная плата","salario, sueldo","salário",NULL
770,11,"hire","louer","нанимать, брать на прокат","alquilar, emplear","alugar",NULL
690,11,"tax, tribute","taxe, impôt","налог","impuesto, tributo","imposto, taxa",NULL
660,11,"account, reckoning","compte","счет","calcul, cuenta","conta",NULL
650,11,"pay (vb)","payer","платить","pagar","pagar",NULL
640,11,"debt","dette","долг","deuda","dívida",NULL
630,11,"owe","devoir","быть должным","deber","dever",NULL
620,11,"borrow","emprunter","занимать","pedir prestado","pedir emprestado",NULL
610,11,"lend","prêter","давать в долг","prestar","emprestar",NULL
540,11,"avaricious, stingy","avare, radin","скупой","avaro, mezquino","avarento",NULL
530,11,"beggar","mendiant","попрошайка, нищий","mendigo","mendigo",NULL
520,11,"poor","pauvre","бедный","pobre","pobre",NULL
510,11,"rich","riche","богатый","rico","rico",NULL
440,11,"coin","pièce de monnaie","монета","moneda","moeda",NULL
430,11,"money","argent","деньги","dinero","dinheiro",NULL
340,11,"release, let go","libérer","отпускать","soltar","largar, soltar",NULL
330,11,"lose","perdre","терять","perder","perder",NULL
320,11,"find","trouver","находить","encontrar, hallar","achar, encontrar",NULL
310,11,"seek, look for","chercher","искать","buscar","buscar, procurar",NULL
280,11,"harm, injure, damage","blesser, endommager","наносить ущерб","dañar, herir","danificar, ferir, estragar",NULL
270,11,"destroy","détruire","разрушать","destruir","destruir",NULL
250,11,"save, rescue","sauver","спасать","salvar","salvar",NULL
240,11,"preserve, look after","préserver","сохранять","conservar, proteger","cuidar de, preservar",NULL
220,11,"give back","rendre","возвращать","devolver","restituir, devolver",NULL
210,11,"give","donner","давать","dar","dar",NULL
180,11,"thing","chose","вещь","cosa","coisa",NULL
170,11,"keep, retain","garder, retenir","хранить","conservar, retener","guardar, conservar",NULL
160,11,"get, obtain","obtenir","получать","obtener","obter, conseguir",NULL
150,11,"hold","tenir","держать","tener (en mano), apoyar","segurar, agarrar",NULL
140,11,"seize, grasp","saisir, attraper","хватать, схватить","agarrar, empuñar, coger, asir","agarrar",NULL
130,11,"take","prendre","брать","tomar, coger","tomar",NULL
120,11,"own, possess","posséder","владеть","poseer, tener","possuir",NULL
110,11,"have","avoir","иметь","tener","ter",NULL
920,10,"land (vb)","débarquer","причаливать, приземляться","desembarcar","desembarcar",NULL
910,10,"harbor, port","port, mouillage","гавань, пристань, порт","puerto","pôrto",NULL
890,10,"anchor","ancre","якорь","ancla","âncora",NULL
880,10,"sail (noun)","voile","парус","vela","vela",NULL
870,10,"mast","mât","мачта","mástil","mastro",NULL
860,10,"rudder","gouvernail","руль","timón","leme",NULL
852,10,"row (vb)","ramer","грести","remar","remar",NULL
851,10,"paddle (noun)","pagaie","весло (байдарочный гребок)","remo corto","remo",NULL
850,10,"oar","rame","весло","remo","remo",NULL
840,10,"raft","radeau","плот","balsa","balsa",NULL
832,10,"outrigger","balancier","шлюпка с выносными уключинами","batanga","jangada",NULL
831,10,"canoe","canoe, pirogue","каноэ","canoa","canoa",NULL
830,10,"boat","bateau","лодка","bote","bote, barco",NULL
810,10,"ship","navire, bateau","корабль, судно","buque, barco","navio",NULL
780,10,"yoke","joug","ярмо","yugo","jugo, canga",NULL
770,10,"axle","essieu","ось","eje","eixo",NULL
760,10,"wheel","roue","колесо","rueda","roda",NULL
750,10,"carriage, wagon, cart","wagon, charrette","экипаж, телега","carro, carretón","carruagem, carroça",NULL
740,10,"bridge","pont","мост","puente","ponte",NULL
720,10,"path","sentier, chemin","дорожка, тропинка","camino, senda","caminho, vereda",NULL
710,10,"road","route","дорога","carretera","estrada, caminho",NULL
670,10,"push, shove","pousser","толкать","empujar","empurrar",NULL
660,10,"ride","chevaucher","ехать на лошади","montar","montar",NULL
650,10,"drive","conduire","ехать на машине","conducir","dirigir",NULL
640,10,"lead (vb)","mener, conduire","вести","guiar","conduzir, guiar",NULL
630,10,"send","envoyer","посылать","enviar, mandar","enviar, mandar",NULL
620,10,"bring","apporter, amener","приносить","traer","trazer",NULL
615,10,"carry-underarm","porter (sous le bras)","нести подмышкой","llevar bajo el brazo","levar debaixo do braço",NULL
614,10,"carry-on-head","porter (sur la tête)","нести, переносить на голове","llevar sobre la cabeza","levar na cabeça",NULL
613,10,"carry-on-shoulder","porter (sur l'épaule)","нести, переносить на плечах","llevar a la espalda/ en el hombro","levar no ombro",NULL
612,10,"carry-in-hand","porter (dans la main)","нести, переносить в руках","llevar en la mano","levar na mão",NULL
610,10,"carry (bear)","porter","нести","llevar, cargar","levar",NULL
570,10,"enter","entrer","входить","entrar","entrar",NULL
560,10,"approach","approcher","приближаться","acercarse","aproximar",NULL
550,10,"reach, arrive","atteindre, arriver","достигать, прибывать","llegar, alcanzar","chegar",NULL
530,10,"pursue","poursuivre","преследовать","perseguir","perseguir",NULL
520,10,"follow","suivre","следовать","seguir","seguir",NULL
510,10,"flee","s'enfuir","бежать, спасаться бегством","huir","escapar, fugir",NULL
491,10,"disappear","disparaître","исчезать","desaparecer","desaparecer",NULL
490,10,"go away, depart","s'en aller, partir","уходить","irse, marcharse","partir, ir-se embora",NULL
481,10,"come back","revenir","возвращаться","volver, regresar","voltar, regressar",NULL
480,10,"come","venir","приходить","venir","vir",NULL
474,10,"go out","sortir","выходить","salir","sair",NULL
473,10,"go down","descendre","спускаться, идти вниз","bajar","descer, baixar",NULL
472,10,"climb","grimper","подниматься, взбираться","trepar","trepar",NULL
470,10,"go","aller","идти","ir","ir",NULL
471,10,"go up","monter","подниматься, идти вверх","subir","subir",NULL
460,10,"run","courir","бежать","correr","correr",NULL
451,10,"limp","boiter","хромать","lisiar","coxear",NULL
450,10,"walk","marcher","ходить","caminar","andar, caminhar",NULL
440,10,"dance","danser","танцевать","bailar","dançar",NULL
431,10,"kick","donner un coup de pied","пинать","patear","dar um pontapé, chutar",NULL
430,10,"jump, leap","sauter","прыгать","saltar, brincar","saltar",NULL
420,10,"slide, slip","glisser","скользить","resbalar","escorregar, resvalar",NULL
413,10,"crouch","s'accroupir","приседать","agacharse, ponerse en cuclillas","agachar-se",NULL
412,10,"kneel","s'agenouiller","становиться на колени","arrodillarse","ajoelhar",NULL
410,10,"creep, crawl","ramper","ползти","gatear","rastejar, arrastar-se",NULL
380,10,"blow","souffler","дуть","soplar","soprar",NULL
370,10,"fly (vb)","voler","летать","volar","voar",NULL
360,10,"sail (vb)","naviguer","плыть под парусом","navegar","navegar",NULL
352,10,"splash","éclabousser","плескаться","salpicar","chapinhar",NULL
351,10,"dive","plonger","нырять","zambullirse","mergulhar",NULL
350,10,"swim","nager","плыть","nadar","nadar",NULL
340,10,"float","flotter","плыть по поверхности воды","flotar","flutuar",NULL
330,10,"sink","couler, sombrer","погружаться в воду, тонуть","hundir","afundar",NULL
320,10,"flow","couler","течь, литься потоком","fluir, correr","fluir",NULL
260,10,"shake","secouer, agiter","трясти","sacudir","agitar",NULL
252,10,"catch (ball)","attraper","ловить (мяч)","coger","apanhar, agarrar",NULL
250,10,"throw","jeter","бросать","echar, tirar","atirar, arremessar, lançar",NULL
240,10,"drip","s'égoutter","лить по каплям","gotear, escurrir","gotejar, escorrer",NULL
230,10,"fall","tomber","падать","caer","cair",NULL
220,10,"raise, lift","lever, élever","поднимать","levantar","levantar, içar",NULL
210,10,"rise","monter, se lever","подниматься, восходить","ascender","subir",NULL
170,10,"twist","tordre","скручивать","torcer","torcer",NULL
160,10,"drop (vb)","laisser tomber","капать","dejar caer","deixar cair",NULL
150,10,"roll","rouler","вращать","rodar, arrollar, enrollar","rolar",NULL
140,10,"wind, wrap","enrouler, envelopper","обертывать","enrollar, envolver","envolver, enrolar",NULL
130,10,"turn around","culbuter, se retourner","развернуть(ся)","dar vuelta, voltear","voltar, dar a volta",NULL
120,10,"turn over","retourner","переворачивать(ся)","volcar, dar(se) vuelta","virar",NULL
110,10,"move","mouvoir, bouger","двигаться","mover","mover",NULL
890,9,"paint (vb)","peindre","красить, рисовать (краской)","pintar","pintar",NULL
840,9,"chisel","ciseau","резец, долото","escoplo, cincel","cinzel",NULL
880,9,"paint (noun)","peinture","краска","pintura","tinta",NULL
830,9,"statue","statue","статуя","estatua","estátua",NULL
820,9,"sculptor","sculpteur","скульптор","escultor","escultor",NULL
810,9,"carve","sculpter, graver","вырезать","esculpir","esculpir",NULL
791,9,"fan (vb)","s'éventer","освежать, обмахивать (веером)","abanicar, aventar","ventilar, abanar",NULL
790,9,"fan (noun)","éventail","веер, вентилятор","abanico","ventilador",NULL
780,9,"netbag","filet","сетчатая сумка","bolsa de malla","saco",NULL
771,9,"rug","tapis","ковёр","tapete, alfombra","tapete, carpete",NULL
770,9,"mat","natte","циновка","estera","tapete",NULL
760,9,"basket","panier","корзина","cesto, canasto, canasta","cesto, cesta",NULL
750,9,"weave, plait","tisser, tresser","ткать","tejer, trenzar","tecer",NULL
740,9,"glass","verre","стекло","vidrio","vidro",NULL
730,9,"clay","argile, glaise","глина","barro, arcilla","barro, argila",NULL
720,9,"mold (clay etc)","mouler","формовать","moldear, formar","moldar, amoldar",NULL
710,9,"potter","pottier","гончар","alfarero","oleiro",NULL
690,9,"tin, tinplate","étain","(белая) жесть","estaño","estanho",NULL
680,9,"lead (noun)","plomb","свинец","plomo","chumbo",NULL
670,9,"iron","fer","железо","hierro","ferro",NULL
660,9,"copper, bronze","cuivre, bronze","медь, бронза","cobre, bronce","cobre, bronze",NULL
650,9,"silver","argent","серебро","plata","prata",NULL
640,9,"gold","or","золото","oro","ouro",NULL
630,9,"cast (metals)","mouler, couler","отливать в форму (металлы)","fundir","fundir",NULL
620,9,"anvil","enclume","наковальня","yunque","bigorna",NULL
610,9,"forge","forger","кузница","fragua","forja",NULL
600,9,"smith, blacksmith","forgeron","кузнец","herrero","ferreiro",NULL
560,9,"glue","colle","клей","cola, adhesivo (pegar)","cola",NULL
500,9,"nail","clou, ongle, pointe","гвоздь","clavo","prego",NULL
490,9,"hammer","marteau","молоток","martillo","martelo",NULL
480,9,"saw","scie","пила","serrucho, sierra","serra",NULL
461,9,"hollow out","creuser","выдалбливать","ahuecar","esburacar, cavar",NULL
460,9,"bore","percer, perforer","дыра, отверстие","perforar","perfurar",NULL
440,9,"build","bâtir, construire","строить","edificar","construir",NULL
430,9,"carpenter","charpentier","плотник","carpintero","carpinteiro",NULL
422,9,"tool","outil","инструмент","herramienta","ferramenta",NULL
380,9,"broom","balai","метла, веник","escoba","vassoura",NULL
360,9,"wash","laver","мыть","lavar","lavar",NULL
370,9,"sweep","balayer","мести","barrer","varrer",NULL
350,9,"pour","verser","лить, наливать","vaciar, verter, derramar","verter, despejar",NULL
343,9,"squeeze, wring","presser","выжимать","estrujar, exprimir","espremer, comprimir",NULL
342,9,"press","presser, appuyer","нажимать, давить","apretar, oprimir","comprimir, apertar",NULL
341,9,"hang up","suspendre","повесить","colgar","pendurar",NULL
340,9,"spread out","étaler, éparpiller","распространять, распростроняться","extender, esparcir","estender, espalhar",NULL
330,9,"pull","tirer","тянуть","tirar, jalar","puxar",NULL
320,9,"stretch","étendre","тянуть, натягивать","alargar, estirar, tender","esticar",NULL
310,9,"rub, wipe","frotter, essuyer","стереть","frotar, enjugar","esfregar",NULL
290,9,"flay, skin","écorcher","сдирать кожу","desollar","esfolar",NULL
280,9,"tear","déchirer","рвать","romper, rasgar","romper, rasgar",NULL
270,9,"split","fendre","расколоть","hender, partir","fender, partir",NULL
261,9,"broken","brisé, cassé","сломанный, разбитый","quebrado","partido, quebrado",NULL
260,9,"break","casser, briser","разбивать","quebrar","romper, quebrar",NULL
250,9,"ax","hache","топор","hacha","machado",NULL
251,9,"adze","herminette","тесло","azuela","enxó",NULL
240,9,"scissors, shears","ciseaux","ножницы","tijeras","tesoura",NULL
230,9,"knife","couteau","нож","cuchillo (herramienta)","faca",NULL
223,9,"stab","poignarder","заколоть","apuñalar","apunhalar",NULL
222,9,"chop, hew","tailler, couper","рубить","tajar, picar","abater, cortar",NULL
221,9,"cut down","abattre","сокращать","tumbar, talar","derrubar",NULL
220,9,"cut","couper","резать","cortar","cortar",NULL
211,9,"pound with fist","marteler de ses poing","колотить кулаком","machacar con el puño","bater com o punho",NULL
210,9,"strike (hit, beat)","frapper, battre","бить","golpear","bater, golpear",NULL
192,9,"knot (noun)","noeud","узел","nudo","nó",NULL
190,9,"rope, cord","corde","веревка","cuerda, soga","corda, cordel",NULL
180,9,"chain","chaîne","цепь","cadena","cadeia",NULL
161,9,"untie","détacher, délier","развязывать","desatar","desatar",NULL
160,9,"tie, bind","attacher, lier","связывать","amarrar, atar","amarrar, atar",NULL
150,9,"fold","plier","сворачивать, складывать","doblar","dobrar",NULL
